Fiyat,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Kimden,Orjinal,Lokal boyalı,Boyalı,Değişmiş,Belirtilmemiş,Üretim Yılı (İlk/Son),Sınıfı,Ortalama Kasko,Ortalama Trafik Sigortası,Silindir Sayısı,Tork,Maksimum Güç,Minimum Güç,Hızlanma (0-100),Maksimum Hız,Ortalama Yakıt Tüketimi,Şehir İçi Yakıt Tüketimi,Şehir Dışı Yakıt Tüketimi,Uzunluk,Genişlik,Yükseklik,Ağırlık,Boş Ağırlığı,Koltuk Sayısı,Bagaj Hacmi,Ön Lastik,Aks Aralığı
1.445.000TL,19 Şubat 2026,Nissan,Juke,1.0 DIG-T Platinum,2021,52.000 km,Yarı Otomatik,Benzin,SUV,Kırmızı,999 cc,115 hp,Önden Çekiş,"5,2 lt",46 lt,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,2020 - 2024,B Segment,16.173TL,10.795TL,3.0,200 nm,5250 rpm,3000 rpm,"11,8 sn",180 km/s,"5,2 lt","5,9 lt","4,8 lt",4210 mm,1800 mm,1595 mm,,1187 kg,5.0,422 lt,225/45 R19,2636.0
1.800.000TL,19 Şubat 2026,Nissan,Juke,1.0 DIG-T Tekna,2025,3 km,Yarı Otomatik,Benzin,SUV,Kırmızı,999 cc,115 hp,Önden Çekiş,"5,2 lt",46 lt,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,2020 - 2024,B Segment,11.957TL,10.795TL,3.0,200 nm,5250 rpm,3000 rpm,"11,8 sn",180 km/s,"5,2 lt","5,9 lt","4,8 lt",4210 mm,1800 mm,1595 mm,,1187 kg,5.0,422 lt,215/60 R17,2636.0
1.900.000TL,19 Şubat 2026,Nissan,Juke,1.0 DIG-T Platinum,2025,5 km,Yarı Otomatik,Benzin,SUV,Beyaz,999 cc,115 hp,Önden Çekiş,"5,2 lt",46 lt,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,2020 - 2024,B Segment,16.173TL,10.795TL,3.0,200 nm,5250 rpm,3000 rpm,"11,8 sn",180 km/s,"5,2 lt","5,9 lt","4,8 lt",4210 mm,1800 mm,1595 mm,,1187 kg,5.0,422 lt,225/45 R19,2636.0
725.000TL,19 Şubat 2026,Nissan,Navara,2.3 dCi 4x4,2016,465.000 km,Düz,Dizel,SUV,Beyaz,2001 - 2500 cm3,151 - 175 HP,AWD (Elektronik),,,7 boyalı,Galeriden,Sağ Ön Kapı Tavan Sol Arka Kapı Motor Kaputu Sol Ön Çamurluk Ön Tampon,-,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Arka Tampon,-,-,,,,,,,,,,,,,,,,,,,,,,
1.075.000TL,19 Şubat 2026,Nissan,Qashqai,1.6 dCi Platinum Premium Pack,2014,230.000 km,Otomatik,Dizel,SUV,Mavi,1598 cc,130 hp,Önden Çekiş,"4,6 lt",55 lt,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,2014 - 2017,H Segment,17.977TL,11.055TL,4.0,320 nm,4000 rpm,1750 rpm,"10,7 sn",182 km/s,"4,6 lt","5,3 lt","4,2 lt",4379 mm,1800 mm,1590 mm,2005 kg,1461 kg,5.0,401 lt,215/60 R17,2646.0
1.390.000TL,19 Şubat 2026,Nissan,Qashqai,1.6 dCi Black Edition,2016,164.000 km,Otomatik,Dizel,SUV,Siyah,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,,,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
2.400.000TL,19 Şubat 2026,Nissan,Qashqai,1.3 DIG-T Sky Pack,2023,15.000 km,Otomatik,Hibrit,SUV,Gri,1201 - 1400 cm3,151 - 175 HP,AWD (Elektronik),,,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
1.500.000TL,19 Şubat 2026,Nissan,Qashqai,1.3 DIG-T Visia,2020,102.000 km,Yarı Otomatik,Benzin,SUV,Gri,1332 cc,160 hp,Önden Çekiş,"5,4 lt",55 lt,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,2019 - 2021,H Segment,15.261TL,11.594TL,4.0,270 nm,5500 rpm,1600 rpm,"10,1 sn",198 km/s,"5,4 lt","6,7 lt","4,6 lt",4394 mm,1806 mm,1590 mm,1863 kg,1315 kg,5.0,401 lt,215/60 R17,2646.0
1.935.000TL,19 Şubat 2026,Nissan,Qashqai,1.3 DIG-T Sky Pack,2022,72.000 km,Otomatik,Benzin,SUV,Gri,1201 - 1400 cm3,151 - 175 HP,Önden Çekiş,,,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
1.465.000TL,19 Şubat 2026,Nissan,Qashqai,1.3 DIG-T Tekna,2019,85.000 km,Yarı Otomatik,Benzin,SUV,Mavi,1332 cc,160 hp,Önden Çekiş,"5,4 lt",55 lt,1 değişen,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,Motor Kaputu,-,2019 - 2021,H Segment,16.546TL,11.594TL,4.0,270 nm,5500 rpm,1600 rpm,"10,1 sn",198 km/s,"5,4 lt","6,7 lt","4,6 lt",4394 mm,1806 mm,1590 mm,1863 kg,1315 kg,5.0,401 lt,215/60 R17,2646.0
1.260.000TL,19 Şubat 2026,Nissan,Navara,2.3 dCi 4x2,2017,98.000 km,Düz,Dizel,SUV,Turuncu,2001 - 2500 cm3,151 - 175 HP,Arkadan İtiş,,,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
1.645.000TL,19 Şubat 2026,Nissan,Navara,2.3 dCi 4x4,2020,103.000 km,Otomatik,Dizel,SUV,Sarı,2001 - 2500 cm3,176 - 200 HP,AWD (Elektronik),,,1 lokal boyalı,Galeriden,Sağ Arka Çamurluk Arka Kaput Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,Sol Arka Çamurluk,-,-,-,,,,,,,,,,,,,,,,,,,,,,
550.000TL,19 Şubat 2026,Nissan,Skystar,4x2,2001,270.000 km,Düz,Dizel,Hard top,Gri,2488 cc,133 hp,Arkadan İtiş,"7,6 lt",75 lt,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,2000 - 2010,K Segment,,,4.0,304 nm,4000 rpm,2000 rpm,13 sn,160 km/s,"7,6 lt","9,6 lt","6,5 lt",5090 mm,1825 mm,1830 mm,2810 kg,1665 kg,5.0,1077 lt,265/70 R16,2950.0
1.040.000TL,19 Şubat 2026,Nissan,Qashqai,1.5 dCi Tekna Sky Pack,2013,110.000 km,Düz,Dizel,SUV,Beyaz,1461 cc,110 hp,Önden Çekiş,"5,1 lt",65 lt,2 boyalı,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Tavan Sol Arka Kapı Sol Ön Kapı Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,Sağ Ön Kapı Sağ Ön Çamurluk,-,-,2012 - 2014,H Segment,15.761TL,11.525TL,4.0,240 nm,4000 rpm,2000 rpm,"12,2 sn",177 km/s,"5,1 lt","5,9 lt","4,7 lt",4330 mm,1783 mm,1615 mm,1930 kg,1407 kg,5.0,410 lt,215/65 R16,2630.0
2.025.000TL,19 Şubat 2026,Nissan,Qashqai,1.3 DIG-T Sky Pack,2023,43.800 km,Otomatik,Hibrit,SUV,Gri,1201 - 1400 cm3,151 - 175 HP,Önden Çekiş,,,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
2.125.750TL,19 Şubat 2026,Nissan,Qashqai,1.3 DIG-T Sky Pack,2024,35.000 km,Otomatik,Benzin,SUV,Kırmızı,1201 - 1400 cm3,151 - 175 HP,Önden Çekiş,,,2 boyalı,Galeriden,Arka Kaput Sol Arka Çamurluk Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,Sağ Arka Çamurluk Sağ Arka Kapı,-,-,,,,,,,,,,,,,,,,,,,,,,
645.000TL,19 Şubat 2026,Nissan,Qashqai,1.5 dCi Tekna Pack,2010,377.700 km,Düz,Dizel,SUV,Beyaz,1461 cc,110 hp,Önden Çekiş,"5,1 lt",65 lt,2 boyalı,Galeriden,Sağ Arka Çamurluk Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,Arka Kaput Sol Ön Kapı,-,-,2010 - 2012,H Segment,13.348TL,13.286TL,4.0,240 nm,4000 rpm,2000 rpm,"12,2 sn",177 km/s,"5,1 lt","5,9 lt","4,7 lt",4330 mm,1783 mm,1615 mm,1930 kg,1407 kg,5.0,410 lt,215/65 R16,2630.0
1.119.900TL,19 Şubat 2026,Nissan,Qashqai,1.5 dCi Visia,2016,175.000 km,Düz,Dizel,SUV,Siyah,1461 cc,110 hp,Önden Çekiş,"3,8 lt",55 lt,3 boyalı,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Tavan Sol Arka Kapı Sol Ön Kapı Motor Kaputu Ön Tampon Arka Tampon,-,Sağ Ön Kapı Sağ Ön Çamurluk Sol Ön Çamurluk,-,-,2014 - 2017,H Segment,18.918TL,11.501TL,4.0,260 nm,4000 rpm,1750 rpm,"12,4 sn",180 km/s,"3,8 lt","4,2 lt","3,6 lt",4379 mm,1800 mm,1590 mm,1910 kg,1365 kg,5.0,401 lt,215/65 R16,2646.0
1.059.000TL,19 Şubat 2026,Nissan,Qashqai,1.6 dCi Sky Pack,2015,254.000 km,Otomatik,Dizel,SUV,Beyaz,1598 cc,130 hp,Önden Çekiş,"4,6 lt",55 lt,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,2015 - 2017,H Segment,17.538TL,12.022TL,4.0,320 nm,4000 rpm,1750 rpm,"10,7 sn",182 km/s,"4,6 lt","5,3 lt","4,2 lt",4379 mm,1800 mm,1590 mm,2005 kg,1461 kg,5.0,401 lt,225/45 R19,2646.0
1.135.000TL,19 Şubat 2026,Nissan,Qashqai,1.2 DIG-T Tekna,2016,199.650 km,Otomatik,Benzin,SUV,Gri,1200 cm3' e kadar,101 - 125 HP,Önden Çekiş,,,1 lokal boyalı,Galeriden,Sağ Arka Çamurluk Arka Kaput Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,Sol Arka Çamurluk,-,-,-,,,,,,,,,,,,,,,,,,,,,,
3.500.000TL,19 Şubat 2026,Nissan,X-Trail,1.5 DIG-T Platinum Premium,2025,13.500 km,Otomatik,Benzin,SUV,Gri,1497 cc,213 hp,4WD (Sürekli),"6,3 lt",55 lt,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,2022 - 2024,I Segment,,,3.0,525 nm,,,7 sn,180 km/s,"6,3 lt",,,4680 mm,1840 mm,1725 mm,2380 kg,1917 kg,5.0,575 lt,235/55 R19,2705.0
2.250.000TL,19 Şubat 2026,Nissan,Qashqai,1.3 DIG-T Sky Pack,2024,19.500 km,Otomatik,Benzin,SUV,Beyaz,1201 - 1400 cm3,151 - 175 HP,Önden Çekiş,,,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
1.190.000TL,19 Şubat 2026,Nissan,Juke,1.6 Special Edition,2016,69.000 km,Otomatik,Benzin,SUV,Beyaz,1598 cc,117 hp,Önden Çekiş,"6,3 lt",46 lt,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,2014 - 2019,B Segment,14.518TL,12.752TL,4.0,158 nm,6000 rpm,4000 rpm,"11,5 sn",170 km/s,"6,3 lt","8,3 lt","5,2 lt",4135 mm,1765 mm,1565 mm,1680 kg,1205 kg,5.0,354 lt,225/45 R18,2530.0
457.000TL,19 Şubat 2026,Nissan,Navara,2.5 TDI 4x2 SE,2006,332.000 km,Düz,Dizel,Hard top,Siyah,2488 cc,144 hp,Arkadan İtiş,"9,1 lt",80 lt,7 boyalı,Galeriden,Arka Kaput Sağ Ön Kapı Tavan Sol Ön Kapı Ön Tampon Arka Tampon,-,Sağ Arka Çamurluk Sol Arka Çamurluk Sağ Arka Kapı Sol Arka Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk,-,-,2005 - 2008,K Segment,,,4.0,356 nm,4000 rpm,2000 rpm,"12,7 sn",170 km/s,"9,1 lt","10,9 lt",8 lt,5220 mm,1850 mm,1766 mm,2812 kg,1948 kg,5.0,1077 lt,255/70 R16,3200.0
425.000TL,3 Mart 2026,Nissan,Skystar,4x2,2004,499.000 km,Düz,Dizel,SUV,Siyah,2001 - 2500 cm3,126 - 150 HP,Arkadan İtiş,,,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
1.425.000TL,3 Mart 2026,Nissan,Navara,2.3 dCi 4x4,2019,64.000 km,Otomatik,Dizel,SUV,Sarı,2001 - 2500 cm3,176 - 200 HP,AWD (Elektronik),,,"2 değişen, 3 boyalı",Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Ön Tampon Arka Tampon,-,Sol Arka Kapı Sağ Ön Çamurluk Sol Ön Çamurluk,Sol Ön Kapı Motor Kaputu,-,,,,,,,,,,,,,,,,,,,,,,
1.199.000TL,3 Mart 2026,Nissan,Navara,2.3 dCi 4x4,2017,255.000 km,Otomatik,Dizel,Hard top,Füme,2298 cc,190 hp,4WD (Sürekli),"7,4 lt",80 lt,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,2016 - 2022,K Segment,,,4.0,450 nm,3750 rpm,1500 rpm,"10,8 sn",180 km/s,"7,4 lt","9,1 lt","6,4 lt",5330 mm,1850 mm,1840 mm,3250 kg,2135 kg,5.0,,255/60 R18,3150.0
725.000TL,3 Mart 2026,Nissan,Navara,2.5 TDI 4x2 SE,2011,425.000 km,Düz,Dizel,SUV,Beyaz,2001 - 2500 cm3,151 - 175 HP,Arkadan İtiş,,,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
595.900TL,3 Mart 2026,Nissan,Navara,2.5 TDI 4x2 SE,2011,300.000 km,Düz,Dizel,SUV,Beyaz,2001 - 2500 cm3,151 - 175 HP,Arkadan İtiş,,,"2 değişen, 4 boyalı",Galeriden,Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Ön Tampon Arka Tampon,-,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Motor Kaputu,Sağ Ön Çamurluk Sol Ön Çamurluk,-,,,,,,,,,,,,,,,,,,,,,,
1.489.000TL,3 Mart 2026,Nissan,Qashqai,1.6 dCi Sky Pack,2017,150.000 km,Otomatik,Dizel,SUV,Mavi,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,,,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
1.695.000TL,3 Mart 2026,Nissan,Qashqai,1.6 dCi Sky Pack,2017,88.000 km,Otomatik,Dizel,SUV,Beyaz,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,,,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
1.150.000TL,3 Mart 2026,Nissan,Qashqai,1.6 dCi Sky Pack,2015,229.000 km,Otomatik,Dizel,SUV,Gri,1598 cc,130 hp,Önden Çekiş,"4,6 lt",55 lt,2 değişen,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Tavan Sol Arka Kapı Sol Ön Kapı Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,Sağ Ön Kapı Sağ Ön Çamurluk,-,2015 - 2017,H Segment,17.538TL,12.022TL,4.0,320 nm,4000 rpm,1750 rpm,"10,7 sn",182 km/s,"4,6 lt","5,3 lt","4,2 lt",4379 mm,1800 mm,1590 mm,2005 kg,1461 kg,5.0,401 lt,225/45 R19,2646.0
1.235.000TL,3 Mart 2026,Nissan,Qashqai,1.6 dCi Sky Pack,2017,163.000 km,Otomatik,Dizel,SUV,Beyaz,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,,,"2 değişen, 2 boyalı",Galeriden,Arka Kaput Sol Arka Çamurluk Tavan Sol Arka Kapı Sol Ön Kapı Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,Sağ Arka Çamurluk Sağ Ön Çamurluk,Sağ Arka Kapı Sağ Ön Kapı,-,,,,,,,,,,,,,,,,,,,,,,
985.000TL,03 Mart 2026,Nissan,Qashqai,1.5 dCi Tekna Sport Pack,2012,143.000 km,Düz,Dizel,SUV,Siyah,1461 cc,110 hp,Önden Çekiş,"5,1 lt",65 lt,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,2012 - 2014,H Segment,15.761TL,13.508TL,4.0,240 nm,4000 rpm,2000 rpm,"12,2 sn",177 km/s,"5,1 lt","5,9 lt","4,7 lt",4330 mm,1783 mm,1615 mm,1930 kg,1407 kg,5.0,410 lt,215/65 R16,2630.0
910.000TL,3 Mart 2026,Nissan,Qashqai,1.2 DIG-T Tekna Sky Pack,2014,137.000 km,Düz,LPG & Benzin,SUV,Bej,1197 cc,115 hp,Önden Çekiş,"5,6 lt",55 lt,"3 değişen, 1 boyalı",Sahibinden,-,-,Sol Ön Çamurluk,Sol Arka Kapı Sol Ön Kapı Motor Kaputu,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sağ Ön Çamurluk Ön Tampon Arka Tampon,2014 - 2014,H Segment,17.977TL,11.055TL,4.0,190 nm,4500 rpm,2000 rpm,"11,3 sn",183 km/s,"5,6 lt","6,9 lt","4,9 lt",4379 mm,1800 mm,1590 mm,1860 kg,1318 kg,5.0,401 lt,215/60 R17,2646.0
1.340.000TL,3 Mart 2026,Nissan,Qashqai,1.6 dCi Tekna,2017,140.000 km,Otomatik,Dizel,SUV,Beyaz,1598 cc,130 hp,Önden Çekiş,"4,6 lt",55 lt,Tamamı orjinal,Sahibinden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,2014 - 2017,H Segment,18.918TL,11.055TL,4.0,320 nm,4000 rpm,1750 rpm,"10,7 sn",182 km/s,"4,6 lt","5,3 lt","4,2 lt",4379 mm,1800 mm,1590 mm,2005 kg,1461 kg,5.0,401 lt,225/45 R19,2646.0
995.000TL,3 Mart 2026,Nissan,Qashqai,1.6 Tekna,2012,120.000 km,Otomatik,Benzin,SUV,Siyah,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,,,1 boyalı,Galeriden,Sağ Arka Çamurluk Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,Arka Kaput,-,-,,,,,,,,,,,,,,,,,,,,,,
1.550.000TL,2 Mart 2026,Nissan,Juke,1.0 DIG-T Tekna,2025,18.387 km,Otomatik,Benzin,SUV,Bordo,1200 cm3' e kadar,-,Önden Çekiş,,,1 lokal boyalı,Sahibinden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,Sağ Arka Kapı,-,-,-,,,,,,,,,,,,,,,,,,,,,,
1.800.000TL,2 Mart 2026,Nissan,Qashqai,1.3 DIG-T Sky Pack Plus,2021,34.000 km,Yarı Otomatik,Benzin,SUV,Beyaz,1332 cc,158 hp,Önden Çekiş,"5,4 lt",55 lt,Tamamı orjinal,Sahibinden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,2021 - 2021,H Segment,15.528TL,12.134TL,4.0,270 nm,5500 rpm,1600 rpm,"10,1 sn",198 km/s,"5,4 lt","6,7 lt","4,6 lt",4394 mm,1806 mm,1590 mm,1863 kg,1315 kg,5.0,401 lt,225/45 R19,2646.0
1.840.000TL,2 Mart 2026,Nissan,X-Trail,1.6 dCi Platinum,2018,110.000 km,Otomatik,Dizel,SUV,Gri,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,,,1 boyalı,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon,-,Arka Tampon,-,-,,,,,,,,,,,,,,,,,,,,,,
2.650.950TL,2 Mart 2026,Nissan,X-Trail,1.5 DIG-T Platinum Premium,2023,14.000 km,Otomatik,Benzin,SUV,Siyah,1497 cc,213 hp,4WD (Sürekli),"6,3 lt",55 lt,2 boyalı,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sağ Ön Çamurluk Motor Kaputu Ön Tampon Arka Tampon,-,Sol Ön Kapı Sol Ön Çamurluk,-,-,2022 - 2024,I Segment,,,3.0,525 nm,,,7 sn,180 km/s,"6,3 lt",,,4680 mm,1840 mm,1725 mm,2380 kg,1917 kg,5.0,575 lt,235/55 R19,2705.0
